date,price,close,high,low,open,volume,r,pattern
2025-10-22 14:00:00,108796.15625,108796.15625,107705.8046875,108753.3046875,1860509696,,0.0025208922773867215,no-pattern
2025-10-22 15:00:00,108365.640625,109070.765625,107864.90625,108899.4140625,0,,-0.0031141354641111008,no-pattern
2025-10-22 16:00:00,108415.078125,108731.6328125,107983.03125,108403.4609375,0,,-0.004118646935516779,no-pattern
2025-10-22 17:00:00,107781.3125,108284.7265625,107630.890625,108242.5,0,,-0.0009352556861212946,no-pattern
2025-10-22 18:00:00,107978.9296875,108183.5,107530.6953125,107770.359375,0,,0.0017629528426770236,no-pattern
2025-10-22 19:00:00,107788.953125,108374.390625,107788.953125,108004.9140625,0,,-0.0034265145231628935,no-pattern
2025-10-22 20:00:00,107658.9375,108003.6796875,107511.5234375,107837.4140625,0,,-0.003031469193997438,no-pattern
2025-10-22 21:00:00,107200.1015625,107676.765625,106793.546875,107676.765625,1144242176,,-0.0009451866870158199,no-pattern
2025-10-22 22:00:00,107207.0,107575.0390625,106988.8359375,107178.5078125,0,,0.0028814756280937104,no-pattern
2025-10-22 23:00:00,107719.2890625,107885.4609375,107232.046875,107232.046875,0,,0.0007060842544550638,no-pattern
2025-10-23 00:00:00,107881.53125,107961.6640625,107563.6640625,107609.4375,0,,0.004686919690591651,no-pattern
2025-10-23 01:00:00,108196.21875,108468.859375,107858.5,107872.484375,0,,-0.000621699358688943,no-pattern
2025-10-23 02:00:00,108371.84375,108401.4453125,108118.859375,108181.25,0,,0.003000527645371065,no-pattern
2025-10-23 03:00:00,108404.8828125,108727.1953125,108385.703125,108428.1953125,153485312,,0.002076439504291372,no-pattern
2025-10-23 04:00:00,108748.9296875,108953.1953125,108401.6875,108407.25,0,,0.00042110709201992336,no-pattern
2025-10-23 05:00:00,108999.0859375,108999.0859375,108714.7421875,108726.328125,0,,0.011335264024420866,no-pattern
2025-10-23 06:00:00,110241.6484375,110241.6484375,108914.8203125,108987.703125,1859813376,,7.086704378878039e-08,no-pattern
2025-10-23 07:00:00,109303.3203125,110241.65625,109295.421875,110241.65625,0,,-0.003574465456207321,no-pattern
2025-10-23 08:00:00,109511.3515625,109848.3046875,109303.4765625,109303.4765625,457146368,,-0.00272307936722882,no-pattern
2025-10-23 09:00:00,109459.484375,109549.5859375,109187.59375,109531.984375,0,,0.0013205185086917481,no-pattern
2025-10-23 10:00:00,109508.765625,109694.34375,109445.8125,109445.8125,709017600,,-0.00044522802144442153,no-pattern
2025-10-23 11:00:00,109244.2265625,109645.515625,109192.984375,109464.9765625,0,,-0.0033911560972743615,no-pattern
2025-10-23 12:00:00,109109.53125,109274.3203125,108804.1796875,109274.3203125,655581184,,0.002839439534588095,no-pattern
2025-10-23 13:00:00,109432.5390625,109585.0390625,108894.0625,109181.0703125,0,,0.001993963504938634,no-pattern
2025-10-23 14:00:00,109597.703125,109803.765625,108904.296875,109512.359375,0,,0.002692304057850592,no-pattern
2025-10-23 15:00:00,109981.8828125,110099.7890625,109591.5546875,109618.671875,0,,0.003881189201614177,no-pattern
2025-10-23 16:00:00,110312.9921875,110527.9375,109724.3984375,109975.2421875,0,,0.006464833233215117,no-pattern
2025-10-23 17:00:00,111233.1875,111244.796875,109753.390625,110293.171875,0,,0.0003395649668984646,no-pattern
2025-10-23 18:00:00,110589.453125,111282.578125,110357.1484375,111254.34375,1492520960,,-0.006225809225918866,no-pattern
2025-10-23 19:00:00,110331.484375,110591.90625,110193.8515625,110591.90625,0,,-0.0028963691925483204,no-pattern
2025-10-23 20:00:00,109521.6171875,110272.0546875,109521.6171875,110272.0546875,0,,-0.004667683239766518,no-pattern
2025-10-23 21:00:00,109584.6328125,109758.5390625,109490.9609375,109570.0859375,0,,0.003607313411695401,no-pattern
2025-10-23 22:00:00,110011.953125,110155.1875,109588.0,109588.0,0,,-0.0003871708732425816,no-pattern
2025-10-23 23:00:00,110071.640625,110112.546875,109898.21875,109990.0546875,0,,0.0052719348614420625,no-pattern
2025-10-24 00:00:00,110572.96875,110694.5859375,110034.703125,110115.0625,119934976,,-9.65540986364033e-05,no-pattern
2025-10-24 01:00:00,110628.7578125,110683.8984375,110272.3046875,110563.34375,0,,0.0008659010689804347,no-pattern
2025-10-24 02:00:00,110714.453125,110779.78125,110392.78125,110597.9453125,0,,-0.0010123027709472154,no-pattern
2025-10-24 03:00:00,110477.9296875,110667.6953125,110358.328125,110667.6953125,0,,0.006434530903963065,no-pattern
2025-10-24 04:00:00,111240.5234375,111382.0859375,110406.65625,110489.25,453677056,,-0.0007039066194245436,no-pattern
2025-10-24 05:00:00,111293.5859375,111303.7109375,111008.4453125,111229.3515625,330559488,,0.0017305307213089094,no-pattern
