conf_i,ext_i,ext_p,type
15353,15352,114851.71875,-1
15363,15359,115515.34375,1
15374,15372,112852.109375,-1
15405,15394,114233.0625,1
15410,15409,113066.4375,-1
15447,15441,116828.40625,1
15464,15459,114596.171875,-1
15482,15468,115288.7734375,1
15486,15485,114234.453125,-1
15488,15486,114283.4609375,1
15489,15488,112441.1015625,-1
15498,15491,113387.09375,1
15504,15503,110972.6328125,-1
15512,15510,112273.4296875,1
15514,15513,109620.015625,-1
15547,15539,111769.828125,1
15551,15549,110738.5390625,-1
15584,15571,113093.859375,1
15587,15585,111915.5234375,-1
15593,15587,112344.203125,1
15600,15597,109630.3515625,-1
15602,15600,110098.5625,1
15604,15603,108178.3359375,-1
15646,15638,109208.8359375,1
15652,15649,108378.109375,-1
15660,15654,108968.3515625,1
